Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-12,484.6,486.0,488.65,481.1,485.0,484.3,483.74,6767972,3.2739689277e+14,105966,3797358,0.5611
2016-07-13,484.3,485.95,488.1,477.95,480.65,481.1,481.61,5855718,2.82018218615e+14,73612,3164012,0.5403
2016-07-14,481.1,480.1,489.3,478.95,485.5,486.1,486.35,5983007,2.9098117e+14,90559,3185848,0.5325
2016-07-15,486.1,480.0,501.7,479.65,494.05,494.0,494.65,8889558,4.3971758356e+14,102652,4000847,0.4501
2016-07-18,494.0,495.0,505.0,490.0,490.75,492.65,500.08,7463954,3.73257905675e+14,84910,3373789,0.452
2016-07-19,492.65,493.9,503.5,493.45,498.0,499.25,498.46,7665519,3.8209917705e+14,90528,3079013,0.4017
2016-07-20,499.25,496.3,502.45,492.45,493.5,493.9,495.33,5697901,2.82235147185e+14,61459,3160786,0.5547
2016-07-21,493.9,498.45,500.0,489.7,490.65,491.05,495.2,3658371,1.8116175206e+14,61330,1200602,0.3282
2016-07-22,491.05,494.45,508.45,493.5,506.65,507.2,499.96,5588143,2.79382759775e+14,87836,2352779,0.421
2016-07-25,507.2,505.5,510.95,503.35,508.55,509.0,507.46,4638151,2.35368235435e+14,82370,2101856,0.4532
2016-07-26,509.0,506.05,513.35,502.1,502.95,503.25,507.31,6187499,3.1390107147e+14,109884,3390199,0.5479
2016-07-27,503.25,507.75,513.05,505.5,509.35,510.1,509.94,5193425,2.6483432303e+14,79157,2561638,0.4932
2016-07-28,510.1,510.0,511.9,498.75,508.75,506.85,506.28,6338260,3.2089205634e+14,56741,3723996,0.5875
2016-07-29,506.85,507.8,510.5,501.1,503.35,503.2,505.11,3746332,1.89232465045e+14,53241,1675507,0.4472
2016-08-01,503.2,506.8,514.9,505.5,507.85,508.25,509.72,4748497,2.42041251215e+14,46864,2043546,0.4304
2016-08-02,508.25,510.0,511.2,491.15,494.75,493.3,502.94,5251838,2.64135140915e+14,52988,2662266,0.5069
2016-08-03,493.3,494.5,499.5,475.5,479.3,478.4,485.95,7925049,3.85119335555e+14,107700,3896101,0.4916
2016-08-04,478.4,490.1,501.45,488.6,500.55,500.0,497.06,9476008,4.71016570525e+14,106240,3949792,0.4168
2016-08-05,500.0,507.2,518.7,502.15,517.0,516.4,510.16,6393514,3.2617374952e+14,79925,2368740,0.3705
